$ /home/sdinh/sandbox/OptiUNO/external/uno/bin/uno_ampl /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs21mod.nl constraint_relaxation_strategy=feasibility_restoration inequality_handling_method=interior_point hessian_model=exact inertia_correction_strategy=none globalization_mechanism=TR globalization_strategy=fletcher_filter_method time_limit=20.0

Automatically picked the filtersqp preset
Original model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs21mod.nl
7 variables, 7 constraints (0 equality, 7 inequality)
Problem type: NLP
Reformulated model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs21mod.nl -> no fixed bounds -> equality constrained -> bounds relaxed
14 variables, 7 constraints (7 equality, 0 inequality)

Non-default options:
QP_solver = BQPD

──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Iterations
 Major  Minor  Penalty   Barrier   Barrier   Radius    Phase ||Step||  Objective  Infeas    Statio    Compl     Status        
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 0      -      -         -         -         1.00e+01  OPT   -         -9.899e+01 2.42e+01  3.00e+00  7.00e+01  initial point 
 1      1      -         1.00e-01  -         1.00e+01  OPT   3.07e+00  -9.155e+01 7.31e-01  4.30e+01  2.65e-11  ✔ (h-type)    
 530    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.356e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 531    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.400e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 532    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.443e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 533    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.487e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 534    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.530e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 535    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.574e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 536    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.618e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 537    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.662e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 538    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.706e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 539    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.750e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 540    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.794e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 541    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.838e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 542    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.883e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 543    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.927e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 544    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.972e+64  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 545    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.002e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 546    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.006e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 547    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.011e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 548    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.015e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 549    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.020e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 550    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.024e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 551    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.029e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 552    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.033e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 553    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.038e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 554    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.042e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 555    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.047e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 556    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.052e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 557    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.056e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 558    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.061e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 559    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.065e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 560    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.070e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 561    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.075e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 562    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.079e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 563    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.084e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 564    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.089e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 565    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.093e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 566    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.098e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 567    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.103e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 568    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.107e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 569    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.112e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 570    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.117e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 571    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.121e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 572    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.126e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 573    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.131e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 574    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.136e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 575    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.140e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 576    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.145e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 577    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.150e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 578    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.155e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 579    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.160e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 580    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.164e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 581    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.169e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 582    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.174e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 583    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.179e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 584    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.184e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 585    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.189e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 586    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.194e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 587    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.198e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 588    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.203e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 589    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.208e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 590    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.213e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 591    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.218e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 592    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.223e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 593    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.228e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 594    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.233e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 595    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.238e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 596    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.243e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 597    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.248e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 598    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.253e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 599    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.258e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 600    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.263e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 601    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.268e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 602    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.273e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 603    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.278e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 604    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.283e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 605    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.288e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 606    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.293e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 607    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.298e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 608    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.303e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 609    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.309e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 610    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.314e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 611    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.319e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 612    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.324e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 613    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.329e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 614    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.334e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 615    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.339e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 616    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.345e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 617    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.350e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 618    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.355e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 619    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.360e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 620    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.365e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 621    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.371e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 622    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.376e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 623    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.381e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 624    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.386e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 625    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.392e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 626    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.397e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 627    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.402e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 628    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.408e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 629    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.413e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 630    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.418e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 631    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.424e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 632    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.429e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 633    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.434e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 634    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.440e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 635    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.445e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 636    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.450e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 637    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.456e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 638    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.461e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 639    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.467e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 640    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.472e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 641    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.477e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 642    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.483e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 643    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.488e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 644    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.494e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 645    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.499e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 646    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.505e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 647    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.510e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 648    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.516e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 649    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.521e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 650    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.527e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 651    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.532e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 652    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.538e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 653    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.543e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 654    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.549e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 655    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.555e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 656    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.560e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 657    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.566e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 658    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.571e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 659    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.577e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 660    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.583e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 661    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.588e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 662    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.594e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 663    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.599e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 664    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.605e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 665    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.611e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 666    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.616e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 667    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.622e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 668    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.628e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 669    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.634e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 670    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.639e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 671    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.645e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 672    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.651e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 673    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.656e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 674    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.662e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 675    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.668e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 676    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.674e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 677    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.680e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 678    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.685e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 679    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.691e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 680    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.697e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 681    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.703e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 682    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.709e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 683    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.715e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 684    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.720e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 685    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.726e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 686    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.732e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 687    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.738e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 688    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.744e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 689    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.750e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 690    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.756e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 691    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.762e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 692    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.768e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 693    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.774e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 694    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.780e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 695    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.786e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 696    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.792e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 697    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.798e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 698    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.804e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 699    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.810e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 700    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.816e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 701    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.822e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 702    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.828e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 703    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.834e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 704    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.840e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 705    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.846e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 706    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.852e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 707    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.858e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 708    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.864e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 709    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.870e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 710    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.876e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 711    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.882e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 712    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.889e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 713    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.895e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 714    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.901e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 715    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.907e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 716    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.913e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 717    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.919e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 718    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.926e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 719    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.932e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 720    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.938e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 721    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.944e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 722    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.951e+65  2.00e+00  nan       2.45e-11  ✔ (h-type)    
