$ /home/sdinh/sandbox/OptiUNO/quickRun/external/uno/bin/uno_ampl /home/sdinh/sandbox/OptiUNO/quickRun/models/nl/hs085.nl constraint_relaxation_strategy=feasibility_restoration inequality_handling_method=interior_point hessian_model=exact inertia_correction_strategy=primal_dual globalization_mechanism=LS globalization_strategy=waechter_filter_method time_limit=20.0

Automatically picked the filtersqp preset
Original model /home/sdinh/sandbox/OptiUNO/quickRun/models/nl/hs085.nl
5 variables, 48 constraints (0 equality, 48 inequality)
Problem type: NLP
Reformulated model /home/sdinh/sandbox/OptiUNO/quickRun/models/nl/hs085.nl -> no fixed bounds -> equality constrained -> bounds relaxed
53 variables, 48 constraints (48 equality, 0 inequality)

Non-default options:
linear_solver = MUMPS
libhsl_path = 

───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Iterations
 Major  Minor  Penalty   Barrier   Barrier   Steplength Phase Regulariz Regulariz ||Step||  Objective  Infeas    Statio    Compl     Status        
───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 0      -      -         -         -         -          OPT   -         -         -         -9.394e-01 5.94e+05  6.93e+00  8.74e+06  initial point 
 -      9      0.00e+00  -         -         3.91e-03   -     -         -         9.36e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      10     0.00e+00  -         -         1.95e-03   -     -         -         4.68e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      11     0.00e+00  -         -         9.77e-04   -     -         -         2.34e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      12     0.00e+00  -         -         4.88e-04   -     -         -         1.17e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      13     0.00e+00  -         -         2.44e-04   -     -         -         5.85e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      14     0.00e+00  -         -         1.22e-04   -     -         -         2.93e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      15     0.00e+00  -         -         6.10e-05   -     -         -         1.46e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      16     0.00e+00  -         -         3.05e-05   -     -         -         7.31e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      17     0.00e+00  -         -         1.53e-05   -     -         -         3.66e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      18     0.00e+00  -         -         7.63e-06   -     -         -         1.83e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      19     0.00e+00  -         -         3.81e-06   -     -         -         9.14e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      20     0.00e+00  -         -         1.91e-06   -     -         -         4.57e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      21     0.00e+00  -         -         9.54e-07   -     -         -         2.29e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      22     0.00e+00  -         -         4.77e-07   -     -         -         1.14e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      23     0.00e+00  -         -         2.38e-07   -     -         -         5.71e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      24     0.00e+00  -         -         1.19e-07   -     -         -         2.86e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      25     0.00e+00  -         -         5.96e-08   -     -         -         1.43e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      26     0.00e+00  -         -         2.98e-08   -     -         -         7.14e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      27     0.00e+00  -         -         1.49e-08   -     -         -         3.57e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      28     0.00e+00  -         -         7.45e-09   -     -         -         1.79e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      29     0.00e+00  -         -         3.73e-09   -     -         -         8.93e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      30     0.00e+00  -         -         1.86e-09   -     -         -         4.46e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      31     0.00e+00  -         -         9.31e-10   -     -         -         2.23e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      32     0.00e+00  -         -         4.66e-10   -     -         -         1.12e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      33     0.00e+00  -         -         2.33e-10   -     -         -         5.58e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      34     0.00e+00  -         -         1.16e-10   -     -         -         2.79e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      35     0.00e+00  -         -         5.82e-11   -     -         -         1.40e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      36     0.00e+00  -         -         2.91e-11   -     -         -         6.98e-08  -1.663e+00 8.31e+00  8.87e+02  5.00e+00  ✔ (Armijo)    
 28     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         2.63e+03  -1.666e+00 9.00e+00  -         -         ✘ (Armijo)    
 -      2      0.00e+00  -         -         5.00e-01   -     -         -         1.32e+03  -1.664e+00 8.08e+00  -         -         ✘ (Armijo)    
 -      3      0.00e+00  -         -         2.50e-01   -     -         -         6.58e+02  -1.664e+00 8.19e+00  -         -         ✘ (Armijo)    
 -      4      0.00e+00  -         -         1.25e-01   -     -         -         3.29e+02  -1.664e+00 8.25e+00  -         -         ✘ (Armijo)    
 -      5      0.00e+00  -         -         6.25e-02   -     -         -         1.65e+02  -1.663e+00 8.28e+00  -         -         ✘ (Armijo)    
 -      6      0.00e+00  -         -         3.12e-02   -     -         -         8.23e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      7      0.00e+00  -         -         1.56e-02   -     -         -         4.11e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      8      0.00e+00  -         -         7.81e-03   -     -         -         2.06e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      9      0.00e+00  -         -         3.91e-03   -     -         -         1.03e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      10     0.00e+00  -         -         1.95e-03   -     -         -         5.14e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      11     0.00e+00  -         -         9.77e-04   -     -         -         2.57e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      12     0.00e+00  -         -         4.88e-04   -     -         -         1.29e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      13     0.00e+00  -         -         2.44e-04   -     -         -         6.43e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      14     0.00e+00  -         -         1.22e-04   -     -         -         3.21e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      15     0.00e+00  -         -         6.10e-05   -     -         -         1.61e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      16     0.00e+00  -         -         3.05e-05   -     -         -         8.03e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      17     0.00e+00  -         -         1.53e-05   -     -         -         4.02e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      18     0.00e+00  -         -         7.63e-06   -     -         -         2.01e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      19     0.00e+00  -         -         3.81e-06   -     -         -         1.00e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      20     0.00e+00  -         -         1.91e-06   -     -         -         5.02e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      21     0.00e+00  -         -         9.54e-07   -     -         -         2.51e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      22     0.00e+00  -         -         4.77e-07   -     -         -         1.26e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      23     0.00e+00  -         -         2.38e-07   -     -         -         6.28e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      24     0.00e+00  -         -         1.19e-07   -     -         -         3.14e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      25     0.00e+00  -         -         5.96e-08   -     -         -         1.57e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      26     0.00e+00  -         -         2.98e-08   -     -         -         7.84e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      27     0.00e+00  -         -         1.49e-08   -     -         -         3.92e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      28     0.00e+00  -         -         7.45e-09   -     -         -         1.96e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      29     0.00e+00  -         -         3.73e-09   -     -         -         9.81e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      30     0.00e+00  -         -         1.86e-09   -     -         -         4.90e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      31     0.00e+00  -         -         9.31e-10   -     -         -         2.45e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      32     0.00e+00  -         -         4.66e-10   -     -         -         1.23e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      33     0.00e+00  -         -         2.33e-10   -     -         -         6.13e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      34     0.00e+00  -         -         1.16e-10   -     -         -         3.06e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      35     0.00e+00  -         -         5.82e-11   -     -         -         1.53e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      36     0.00e+00  -         -         2.91e-11   -     -         -         7.66e-08  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      37     0.00e+00  -         -         1.46e-11   -     -         -         3.83e-08  -1.663e+00 8.31e+00  8.87e+02  5.00e+00  ✔ (Armijo)    
 29     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         2.51e+03  -1.666e+00 8.92e+00  -         -         ✘ (Armijo)    
 -      2      0.00e+00  -         -         5.00e-01   -     -         -         1.25e+03  -1.665e+00 8.06e+00  -         -         ✘ (Armijo)    
 -      3      0.00e+00  -         -         2.50e-01   -     -         -         6.27e+02  -1.664e+00 8.18e+00  -         -         ✘ (Armijo)    
 -      4      0.00e+00  -         -         1.25e-01   -     -         -         3.13e+02  -1.664e+00 8.25e+00  -         -         ✘ (Armijo)    
 -      5      0.00e+00  -         -         6.25e-02   -     -         -         1.57e+02  -1.663e+00 8.28e+00  -         -         ✘ (Armijo)    
 -      6      0.00e+00  -         -         3.12e-02   -     -         -         7.83e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      7      0.00e+00  -         -         1.56e-02   -     -         -         3.92e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      8      0.00e+00  -         -         7.81e-03   -     -         -         1.96e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      9      0.00e+00  -         -         3.91e-03   -     -         -         9.79e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      10     0.00e+00  -         -         1.95e-03   -     -         -         4.89e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      11     0.00e+00  -         -         9.77e-04   -     -         -         2.45e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      12     0.00e+00  -         -         4.88e-04   -     -         -         1.22e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      13     0.00e+00  -         -         2.44e-04   -     -         -         6.12e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      14     0.00e+00  -         -         1.22e-04   -     -         -         3.06e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      15     0.00e+00  -         -         6.10e-05   -     -         -         1.53e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      16     0.00e+00  -         -         3.05e-05   -     -         -         7.65e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      17     0.00e+00  -         -         1.53e-05   -     -         -         3.82e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      18     0.00e+00  -         -         7.63e-06   -     -         -         1.91e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      19     0.00e+00  -         -         3.81e-06   -     -         -         9.56e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      20     0.00e+00  -         -         1.91e-06   -     -         -         4.78e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      21     0.00e+00  -         -         9.54e-07   -     -         -         2.39e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      22     0.00e+00  -         -         4.77e-07   -     -         -         1.20e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      23     0.00e+00  -         -         2.38e-07   -     -         -         5.98e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      24     0.00e+00  -         -         1.19e-07   -     -         -         2.99e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      25     0.00e+00  -         -         5.96e-08   -     -         -         1.49e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      26     0.00e+00  -         -         2.98e-08   -     -         -         7.47e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      27     0.00e+00  -         -         1.49e-08   -     -         -         3.73e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      28     0.00e+00  -         -         7.45e-09   -     -         -         1.87e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      29     0.00e+00  -         -         3.73e-09   -     -         -         9.34e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      30     0.00e+00  -         -         1.86e-09   -     -         -         4.67e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      31     0.00e+00  -         -         9.31e-10   -     -         -         2.33e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      32     0.00e+00  -         -         4.66e-10   -     -         -         1.17e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      33     0.00e+00  -         -         2.33e-10   -     -         -         5.84e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      34     0.00e+00  -         -         1.16e-10   -     -         -         2.92e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      35     0.00e+00  -         -         5.82e-11   -     -         -         1.46e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      36     0.00e+00  -         -         2.91e-11   -     -         -         7.29e-08  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      37     0.00e+00  -         -         1.46e-11   -     -         -         3.65e-08  -1.663e+00 8.31e+00  8.87e+02  5.00e+00  ✔ (Armijo)    
 30     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         2.57e+03  -1.666e+00 8.95e+00  -         -         ✘ (Armijo)    
 -      2      0.00e+00  -         -         5.00e-01   -     -         -         1.29e+03  -1.664e+00 8.06e+00  -         -         ✘ (Armijo)    
 -      3      0.00e+00  -         -         2.50e-01   -     -         -         6.44e+02  -1.664e+00 8.19e+00  -         -         ✘ (Armijo)    
 -      4      0.00e+00  -         -         1.25e-01   -     -         -         3.22e+02  -1.664e+00 8.25e+00  -         -         ✘ (Armijo)    
 -      5      0.00e+00  -         -         6.25e-02   -     -         -         1.61e+02  -1.663e+00 8.28e+00  -         -         ✘ (Armijo)    
 -      6      0.00e+00  -         -         3.12e-02   -     -         -         8.05e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      7      0.00e+00  -         -         1.56e-02   -     -         -         4.02e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      8      0.00e+00  -         -         7.81e-03   -     -         -         2.01e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      9      0.00e+00  -         -         3.91e-03   -     -         -         1.01e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      10     0.00e+00  -         -         1.95e-03   -     -         -         5.03e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      11     0.00e+00  -         -         9.77e-04   -     -         -         2.51e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      12     0.00e+00  -         -         4.88e-04   -     -         -         1.26e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      13     0.00e+00  -         -         2.44e-04   -     -         -         6.29e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      14     0.00e+00  -         -         1.22e-04   -     -         -         3.14e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      15     0.00e+00  -         -         6.10e-05   -     -         -         1.57e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      16     0.00e+00  -         -         3.05e-05   -     -         -         7.86e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      17     0.00e+00  -         -         1.53e-05   -     -         -         3.93e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      18     0.00e+00  -         -         7.63e-06   -     -         -         1.96e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      19     0.00e+00  -         -         3.81e-06   -     -         -         9.82e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      20     0.00e+00  -         -         1.91e-06   -     -         -         4.91e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      21     0.00e+00  -         -         9.54e-07   -     -         -         2.46e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      22     0.00e+00  -         -         4.77e-07   -     -         -         1.23e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      23     0.00e+00  -         -         2.38e-07   -     -         -         6.14e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      24     0.00e+00  -         -         1.19e-07   -     -         -         3.07e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      25     0.00e+00  -         -         5.96e-08   -     -         -         1.53e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      26     0.00e+00  -         -         2.98e-08   -     -         -         7.67e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      27     0.00e+00  -         -         1.49e-08   -     -         -         3.84e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      28     0.00e+00  -         -         7.45e-09   -     -         -         1.92e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      29     0.00e+00  -         -         3.73e-09   -     -         -         9.59e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      30     0.00e+00  -         -         1.86e-09   -     -         -         4.80e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      31     0.00e+00  -         -         9.31e-10   -     -         -         2.40e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      32     0.00e+00  -         -         4.66e-10   -     -         -         1.20e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      33     0.00e+00  -         -         2.33e-10   -     -         -         5.99e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      34     0.00e+00  -         -         1.16e-10   -     -         -         3.00e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      35     0.00e+00  -         -         5.82e-11   -     -         -         1.50e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      36     0.00e+00  -         -         2.91e-11   -     -         -         7.49e-08  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      37     0.00e+00  -         -         1.46e-11   -     -         -         3.75e-08  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      38     0.00e+00  -         -         7.28e-12   -     -         -         1.87e-08  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      39     0.00e+00  -         -         3.64e-12   -     -         -         9.37e-09  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      40     0.00e+00  -         -         1.82e-12   -     -         -         4.68e-09  -1.663e+00 8.31e+00  8.87e+02  5.00e+00  ✔ (Armijo)    
 31     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         2.54e+03  -1.666e+00 8.93e+00  -         -         ✘ (Armijo)    
 -      2      0.00e+00  -         -         5.00e-01   -     -         -         1.27e+03  -1.665e+00 8.06e+00  -         -         ✘ (Armijo)    
 -      3      0.00e+00  -         -         2.50e-01   -     -         -         6.35e+02  -1.664e+00 8.18e+00  -         -         ✘ (Armijo)    
 -      4      0.00e+00  -         -         1.25e-01   -     -         -         3.17e+02  -1.664e+00 8.25e+00  -         -         ✘ (Armijo)    
 -      5      0.00e+00  -         -         6.25e-02   -     -         -         1.59e+02  -1.663e+00 8.28e+00  -         -         ✘ (Armijo)    
 -      6      0.00e+00  -         -         3.12e-02   -     -         -         7.93e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      7      0.00e+00  -         -         1.56e-02   -     -         -         3.97e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      8      0.00e+00  -         -         7.81e-03   -     -         -         1.98e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      9      0.00e+00  -         -         3.91e-03   -     -         -         9.91e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      10     0.00e+00  -         -         1.95e-03   -     -         -         4.96e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      11     0.00e+00  -         -         9.77e-04   -     -         -         2.48e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      12     0.00e+00  -         -         4.88e-04   -     -         -         1.24e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      13     0.00e+00  -         -         2.44e-04   -     -         -         6.20e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      14     0.00e+00  -         -         1.22e-04   -     -         -         3.10e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      15     0.00e+00  -         -         6.10e-05   -     -         -         1.55e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      16     0.00e+00  -         -         3.05e-05   -     -         -         7.75e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      17     0.00e+00  -         -         1.53e-05   -     -         -         3.87e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      18     0.00e+00  -         -         7.63e-06   -     -         -         1.94e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      19     0.00e+00  -         -         3.81e-06   -     -         -         9.68e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      20     0.00e+00  -         -         1.91e-06   -     -         -         4.84e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      21     0.00e+00  -         -         9.54e-07   -     -         -         2.42e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      22     0.00e+00  -         -         4.77e-07   -     -         -         1.21e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      23     0.00e+00  -         -         2.38e-07   -     -         -         6.05e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      24     0.00e+00  -         -         1.19e-07   -     -         -         3.03e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      25     0.00e+00  -         -         5.96e-08   -     -         -         1.51e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      26     0.00e+00  -         -         2.98e-08   -     -         -         7.56e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      27     0.00e+00  -         -         1.49e-08   -     -         -         3.78e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      28     0.00e+00  -         -         7.45e-09   -     -         -         1.89e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      29     0.00e+00  -         -         3.73e-09   -     -         -         9.46e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      30     0.00e+00  -         -         1.86e-09   -     -         -         4.73e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      31     0.00e+00  -         -         9.31e-10   -     -         -         2.36e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      32     0.00e+00  -         -         4.66e-10   -     -         -         1.18e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      33     0.00e+00  -         -         2.33e-10   -     -         -         5.91e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      34     0.00e+00  -         -         1.16e-10   -     -         -         2.95e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      35     0.00e+00  -         -         5.82e-11   -     -         -         1.48e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      36     0.00e+00  -         -         2.91e-11   -     -         -         7.39e-08  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      37     0.00e+00  -         -         1.46e-11   -     -         -         3.69e-08  -1.663e+00 8.31e+00  8.87e+02  5.00e+00  ✔ (Armijo)    
 32     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         2.56e+03  -1.666e+00 8.93e+00  -         -         ✘ (Armijo)    
 -      2      0.00e+00  -         -         5.00e-01   -     -         -         1.28e+03  -1.665e+00 8.06e+00  -         -         ✘ (Armijo)    
 -      3      0.00e+00  -         -         2.50e-01   -     -         -         6.39e+02  -1.664e+00 8.18e+00  -         -         ✘ (Armijo)    
 -      4      0.00e+00  -         -         1.25e-01   -     -         -         3.20e+02  -1.664e+00 8.25e+00  -         -         ✘ (Armijo)    
 -      5      0.00e+00  -         -         6.25e-02   -     -         -         1.60e+02  -1.663e+00 8.28e+00  -         -         ✘ (Armijo)    
 -      6      0.00e+00  -         -         3.12e-02   -     -         -         7.99e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      7      0.00e+00  -         -         1.56e-02   -     -         -         4.00e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      8      0.00e+00  -         -         7.81e-03   -     -         -         2.00e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      9      0.00e+00  -         -         3.91e-03   -     -         -         9.99e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      10     0.00e+00  -         -         1.95e-03   -     -         -         5.00e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      11     0.00e+00  -         -         9.77e-04   -     -         -         2.50e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      12     0.00e+00  -         -         4.88e-04   -     -         -         1.25e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      13     0.00e+00  -         -         2.44e-04   -     -         -         6.24e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      14     0.00e+00  -         -         1.22e-04   -     -         -         3.12e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      15     0.00e+00  -         -         6.10e-05   -     -         -         1.56e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      16     0.00e+00  -         -         3.05e-05   -     -         -         7.81e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      17     0.00e+00  -         -         1.53e-05   -     -         -         3.90e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      18     0.00e+00  -         -         7.63e-06   -     -         -         1.95e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      19     0.00e+00  -         -         3.81e-06   -     -         -         9.76e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
