number,name,classification,N,M,Nnl,Mnl,Nz,Fbest_raw,Fbest,feasible,in_uno_429_subset,mod_file_available,gms_file_available,dag_file_available,res_file_available,nl_file_available,nl_conversion_status,other_files,detail_page
2152,discs,LQR2-MY,36,69,33,66,375,12.0001000,12.0001,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/discs.htm
2153,dittert,OQR2-AN,327,264,326,247,2448,-1.9976000,-1.9976,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dittert.htm
2154,dixchlng,SOR2-AN,10,5,10,5,40,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixchlng.htm
2155,dixchlnv,SOR2-AN,100,50,100,50,2650,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixchlnv.htm
2156,dixmaana,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaana.htm
2157,dixmaanb,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaanb.htm
2158,dixmaanc,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaanc.htm
2159,dixmaand,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaand.htm
2160,dixmaane,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaane.htm
2161,dixmaanf,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaanf.htm
2162,dixmaang,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaang.htm
2163,dixmaanh,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaanh.htm
2164,dixmaani,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaani.htm
2165,dixmaanj,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaanj.htm
2166,dixmaank,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaank.htm
2167,dixmaanl,OUR2-AN,3000,0,3000,0,3000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixmaanl.htm
2168,dixon3dq,QUR2-AN,10,0,10,0,10,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dixon3dq.htm
2169,djtl,OUR2-AN,2,0,2,0,2,,,,True,True,False,True,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/djtl.htm
2170,dnieper,QOR2-MN,61,24,49,24,173,18744.0146000,18744.0146,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dnieper.htm
2171,dqdrtic,QUR2-AN,5000,0,5000,0,5000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dqdrtic.htm
2172,dqrtic,OUR2-AN,5000,0,5000,0,5000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dqrtic.htm
2173,drcav1lq,NQR2-MY,10816,10000,10000,10000,128004,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/drcav1lq.htm
2174,drcav2lq,NQR2-MY,10816,10000,10000,10000,128004,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/drcav2lq.htm
2175,drcav3lq,NQR2-MY,10816,10000,10000,10000,128004,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/drcav3lq.htm
2176,drcavty1,NQR2-MY,10816,816,10000,0,10000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/drcavty1.htm
2177,drcavty2,NQR2-MY,10816,816,10000,0,10000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/drcavty2.htm
2178,drcavty3,NQR2-MY,10816,816,10000,0,10000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/drcavty3.htm
2179,dtoc1l,OLR2-AN,14995,9990,14985,0,97874,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dtoc1l.htm
2180,dtoc1na,OQR2-AN,1495,990,1485,980,17225,,,,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dtoc1na.htm
2181,dtoc1nb,OQR2-AN,1495,990,1485,980,17225,,,,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dtoc1nb.htm
2182,dtoc1nc,OQR2-AN,1495,990,1485,980,17225,,,,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dtoc1nc.htm
2183,dtoc1nd,OQR2-AN,745,490,735,480,8475,12.6945000,12.6945,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dtoc1nd.htm
2184,dtoc2,OOR2-AN,5998,3996,5994,3996,21974,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dtoc2.htm
2185,dtoc3,QLR2-AN,14999,9998,14996,0,49982,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dtoc3.htm
2186,dtoc4,QOR2-AN,14999,9998,14996,4997,49982,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dtoc4.htm
2187,dtoc5,QQR2-AN,9999,4999,9997,4998,24993,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dtoc5.htm
2188,dtoc6,OOR2-AN,10001,5000,9999,5000,24998,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dtoc6.htm
2189,dual1,QLR2-MN,85,1,85,0,170,0.0350000,0.035,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dual1.htm
2190,dual2,QLR2-MN,96,1,96,0,192,0.0337000,0.0337,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dual2.htm
2191,dual3,QLR2-MN,111,1,111,0,222,0.1358000,0.1358,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dual3.htm
2192,dual4,QLR2-MN,75,1,75,0,150,0.7461000,0.7461,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dual4.htm
2193,dualc1,QLR2-MN,9,215,9,0,126,6155.2516000,6155.2516,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dualc1.htm
2194,dualc2,QLR2-MN,7,229,7,0,70,3551.3060000,3551.306,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dualc2.htm
2195,dualc5,QLR2-MN,8,278,8,0,16,427.2326000,427.2326,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dualc5.htm
2196,dualc8,QLR2-MN,8,503,8,0,128,18309.3600000,18309.36,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dualc8.htm
2197,edensch,OUR2-AN,2000,0,2000,0,2000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/edensch.htm
2198,eg1,OBR2-AY,3,0,3,0,3,-1.4293000,-1.4293,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eg1.htm
2199,eg2,OUR2-AN,1000,0,1000,0,1000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eg2.htm
2200,eg3,OOR2-AY,101,200,101,200,599,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eg3.htm
2201,eigena,NOR2-AN,110,0,110,0,110,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigena.htm
2202,eigena2,QQR2-AN,110,55,110,55,1110,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigena2.htm
2203,eigenaco,SQR2-AN,110,55,110,55,1110,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigenaco.htm
2204,eigenals,SUR2-AN,110,0,110,0,110,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigenals.htm
2205,eigenb,NOR2-AN,110,0,110,0,110,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigenb.htm
2206,eigenb2,QQR2-AN,110,55,110,55,1110,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigenb2.htm
2207,eigenbco,SQR2-AN,110,55,110,55,1110,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigenbco.htm
2208,eigenbls,SUR2-AN,110,0,110,0,110,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigenbls.htm
2209,eigenc2,QQR2-AN,462,231,462,231,9723,(0.0000000),0.0,False,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigenc2.htm
2210,eigencco,SQR2-AN,30,15,30,15,155,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigencco.htm
2211,eigmaxa,LQR2-AN,101,101,101,101,301,-100.0000000,-100.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigmaxa.htm
2212,eigmaxb,LQR2-AN,101,101,101,101,499,-0.9643000,-0.9643,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigmaxb.htm
2213,eigmaxc,LQR2-AN,22,22,22,22,104,-10.7462000,-10.7462,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigmaxc.htm
2214,eigmina,LQR2-AN,101,101,101,101,301,1.0000000,1.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigmina.htm
2215,eigminb,LQR2-AN,101,101,101,101,499,0.0010000,0.001,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigminb.htm
2216,eigminc,LQR2-AN,22,22,22,22,104,-1.0000000,-1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/eigminc.htm
2217,engval1,OUR2-AN,5000,0,5000,0,5000,,,,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/engval1.htm
2218,engval2,SUR2-AN,3,0,3,0,3,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/engval2.htm
2219,errinros,SUR2-AN,50,0,50,0,50,39.9042000,39.9042,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/errinros.htm
2220,expfit,SUR2-AN,2,0,2,0,2,0.2405000,0.2405,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/expfit.htm
2221,expfita,OLR2-AN,5,22,5,0,76,0.0011000,0.0011,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/expfita.htm
2222,expfitb,OLR2-AN,5,102,5,0,356,0.0050000,0.005,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/expfitb.htm
2223,expfitc,OLR2-AN,5,502,5,0,1756,0.0233000,0.0233,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/expfitc.htm
2224,explin,OBR2-AN,120,0,11,0,120,-723756.3000000,-723756.3,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/explin.htm
2225,explin2,OBR2-AN,120,0,11,0,120,-724459.1430000,-724459.143,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/explin2.htm
2226,expquad,OBR2-AN,120,10,120,0,120,-3624600.0000000,-3624600.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/expquad.htm
2227,extrasim,LLR2-AN,2,1,0,0,3,1.0000000,1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/extrasim.htm
2228,extrosnb,SUR2-AN,10,0,10,0,10,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/extrosnb.htm
2229,fccu,SLR2-MN,19,8,19,0,47,11.1491000,11.1491,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/fccu.htm
2230,fletcbv2,OUR2-AN,100,0,100,0,100,-0.5140000,-0.514,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/fletcbv2.htm
2231,fletcbv3,OUR2-AN,10000,0,10000,0,10000,,,,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/fletcbv3.htm
2232,fletchbv,OUR2-AN,10000,0,10000,0,10000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/fletchbv.htm
2233,fletchcr,OUR2-AN,100,0,100,0,100,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/fletchcr.htm
2234,fletcher,QOR2-AN,4,5,4,1,12,11.6568000,11.6568,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/fletcher.htm
2235,flosp2hh,NQR2-MY,691,0,650,0,650,45.7499000,45.7499,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/flosp2hh.htm
2236,flosp2hl,NQR2-MY,691,0,650,0,650,38.3351000,38.3351,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/flosp2hl.htm
2237,flosp2hm,NQR2-MY,691,0,650,0,650,38.4669000,38.4669,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/flosp2hm.htm
2238,flosp2th,NQR2-MY,691,0,650,0,650,19.4931000,19.4931,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/flosp2th.htm
2239,flosp2tl,NQR2-MY,691,0,650,0,650,16.5671000,16.5671,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/flosp2tl.htm
2240,flosp2tm,NQR2-MY,691,0,650,0,650,19.3542000,19.3542,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/flosp2tm.htm
2241,fminsrf2,OUR2-MY,1024,0,1024,0,1024,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/fminsrf2.htm
2242,fminsurf,OUR2-MY,1024,0,1024,0,1024,,,,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/fminsurf.htm
2243,freuroth,SUR2-AN,5000,0,5000,0,5000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/freuroth.htm
2244,gausselm,LOR2-AN,1496,3962,254,1240,10876,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gausselm.htm
2245,genhs28,QLR2-AY,10,8,10,0,34,0.9272000,0.9272,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/genhs28.htm
2246,genhumps,SUR2-AN,5,0,5,0,5,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/genhumps.htm
2247,genrose,SUR2-AN,500,0,500,0,500,1.0000000,1.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/genrose.htm
2248,gigomez1,LQR2-AN,3,3,2,1,10,-3.0000000,-3.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gigomez1.htm
2249,gilbert,QQR2-AN,1000,1,1000,1,2000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gilbert.htm
2250,goffin,LLR2-AN,51,50,0,0,2551,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/goffin.htm
2251,gottfr,NQR2-AN,2,2,2,2,4,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gottfr.htm
2252,gouldqp2,QLR2-MN,699,349,349,0,1396,0.0002000,0.0002,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gouldqp2.htm
2253,gouldqp3,QLR2-MN,699,349,698,0,1745,2.0652000,2.0652,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gouldqp3.htm
2254,gpp,OOR2-AY,250,498,250,249,1246,14400.9271000,14400.9271,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gpp.htm
2255,gridneta,QNR2-AN,13284,6724,8964,0,26892,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gridneta.htm
2256,gridnetb,QNR2-AN,13284,6724,13284,0,39852,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gridnetb.htm
2257,gridnetc,QNR2-AN,7564,3844,7564,0,22692,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gridnetc.htm
2258,gridnetd,ONR2-AN,7565,3844,3945,0,11833,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gridnetd.htm
2259,gridnete,ONR2-AN,7565,3844,7565,0,22693,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gridnete.htm
2260,gridnetf,ONR2-AN,7565,3844,7565,0,22693,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gridnetf.htm
2261,gridnetg,ONR2-AY,61,36,44,0,130,73.3170000,73.317,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gridnetg.htm
2262,gridneth,ONR2-AY,61,36,61,0,181,39.6263000,39.6263,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gridneth.htm
2263,gridneti,ONR2-AY,61,36,61,0,181,40.2475000,40.2475,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gridneti.htm
2264,grouping,SQR2-MN,100,125,100,100,400,0.3502000,0.3502,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/grouping.htm
2265,growth,NOR2-AN,3,0,3,0,3,1.0040000,1.004,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/growth.htm
2266,growthls,SUR2-AN,3,0,3,0,3,1.0040000,1.004,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/growthls.htm
2267,gulf,SUR2-MN,3,0,3,0,3,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/gulf.htm
2268,hadamals,OBR2-RN,100,0,90,0,90,25.3164000,25.3164,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hadamals.htm
2269,hadamard,LQR2-RN,129,320,65,128,1281,1.0000000,1.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hadamard.htm
2270,hager1,SLR2-AN,10001,5001,5001,0,20000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hager1.htm
2271,hager2,OLR2-AN,10001,5000,10000,0,24999,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hager2.htm
2272,hager3,SLR2-AY,10001,5000,10000,0,24999,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hager3.htm
2273,hager4,OLR2-AN,10001,5000,10000,0,24999,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hager4.htm
2274,haifam,LQR2-AN,85,150,84,150,712,-45.0004000,-45.0004,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/haifam.htm
2275,haifas,LQR2-AN,7,9,6,9,32,-0.4500000,-0.45,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/haifas.htm
2276,hairy,OUR2-AY,2,0,2,0,2,20.0000000,20.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hairy.htm
2277,haldmads,LOR2-AN,6,42,5,42,245,0.0001000,0.0001,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/haldmads.htm
2278,hanging,LQR2-AY,300,180,288,180,1152,-620.1761000,-620.1761,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hanging.htm
2279,harkerp2,QBR2-AN,100,0,100,0,100,-0.5000000,-0.5,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/harkerp2.htm
2280,hart6,OBR2-AN,6,0,6,0,6,-3.3229000,-3.3229,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hart6.htm
2281,hatflda,SBR2-AN,4,0,4,0,4,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hatflda.htm
2282,hatfldb,SBR2-AN,4,1,4,0,4,0.0056000,0.0056,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hatfldb.htm
2283,hatfldc,SBR2-AN,4,3,4,0,4,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hatfldc.htm
2284,hatfldd,SUR2-AN,3,0,3,0,3,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hatfldd.htm
2285,hatflde,SUR2-AN,3,0,3,0,3,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hatflde.htm
2286,hatfldf,NOR2-AN,3,3,2,3,9,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hatfldf.htm
2287,hatfldg,NOR2-AY,25,25,25,25,95,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hatfldg.htm
2288,hatfldh,QLR2-AN,4,7,4,0,20,-24.5000000,-24.5,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hatfldh.htm
2289,heart6,NOR2-MN,6,6,6,6,36,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/heart6.htm
2290,heart6ls,SUR2-MN,6,0,6,0,6,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/heart6ls.htm
2291,heart8,NOR2-MN,8,8,8,6,52,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/heart8.htm
2292,heart8ls,SUR2-MN,8,0,8,0,8,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/heart8ls.htm
2293,helix,SUR2-AN,4,1,3,0,3,,,,True,True,False,True,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/helix.htm
2294,hilberta,QUR2-AN,10,0,10,0,10,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hilberta.htm
2295,hilbertb,QUR2-AN,50,0,50,0,50,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/hilbertb.htm
2296,himmelba,NLR2-AN,2,2,0,0,0,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelba.htm
2297,himmelbb,OUR2-AN,2,0,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelbb.htm
2298,himmelbc,NQR2-AN,2,2,2,2,4,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelbc.htm
2299,himmelbd,NQR2-AN,2,2,2,2,4,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelbd.htm
2300,himmelbe,NQR2-AY,3,3,0,0,0,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/himmelbe.htm
